timestamp,other_cpu_pct
2026-09-14T03:56:02,149
2026-09-14T03:56:32,134
2026-09-14T03:57:03,124
2026-09-14T03:57:33,145
2026-09-14T03:58:03,122
2026-09-14T03:58:33,126
2026-09-14T03:59:03,148
2026-09-14T03:59:33,150
2026-09-14T04:00:03,164
2026-09-14T04:00:33,223
2026-09-14T04:01:03,156
2026-09-14T04:01:33,137
2026-09-14T04:02:03,119
2026-09-14T04:02:33,127
2026-09-14T04:03:03,138
2026-09-14T04:03:33,135
2026-09-14T04:04:03,140
2026-09-14T04:04:34,134
2026-09-14T04:05:04,140
2026-09-14T04:05:34,123
2026-09-14T04:06:04,133
2026-09-14T04:06:34,137
2026-09-14T04:07:04,123
2026-09-14T04:07:34,129
2026-09-14T04:08:04,183
2026-09-14T04:08:34,146
2026-09-14T04:09:04,164
2026-09-14T04:09:34,141
2026-09-14T04:10:04,144
2026-09-14T04:10:34,114
2026-09-14T04:11:04,118
2026-09-14T04:11:34,138
2026-09-14T04:12:04,108
2026-09-14T04:12:34,127
2026-09-14T04:13:05,139
2026-09-14T04:13:35,131
2026-09-14T04:14:05,130
2026-09-14T04:14:35,137
2026-09-14T04:15:05,126
2026-09-14T04:15:35,122
2026-09-14T04:16:05,131
2026-09-14T04:16:35,120
2026-09-14T04:17:05,144
2026-09-14T04:17:35,132
2026-09-14T04:18:05,118
2026-09-14T04:18:35,150
2026-09-14T04:19:05,131
2026-09-14T04:19:35,163
2026-09-14T04:20:05,134
2026-09-14T04:20:36,129
2026-09-14T04:21:06,138
2026-09-14T04:21:36,132
2026-09-14T04:22:06,133
2026-09-14T04:22:36,126
2026-09-14T04:23:06,144
2026-09-14T04:23:36,140
2026-09-14T04:24:06,143
2026-09-14T04:24:36,129
2026-09-14T04:25:06,228
2026-09-14T04:25:36,142
2026-09-14T04:26:06,127
2026-09-14T04:26:36,150
2026-09-14T04:27:06,143
2026-09-14T04:27:36,119
2026-09-14T04:28:07,130
2026-09-14T04:28:37,128
2026-09-14T04:29:07,140
2026-09-14T04:29:37,141
2026-09-14T04:30:07,121
2026-09-14T04:30:37,136
2026-09-14T04:31:07,144
2026-09-14T04:31:37,126
2026-09-14T04:32:07,132
2026-09-14T04:32:37,141
2026-09-14T04:33:07,138
2026-09-14T04:33:37,126
2026-09-14T04:34:07,129
2026-09-14T04:34:37,145
2026-09-14T04:35:07,146
2026-09-14T04:35:38,126
2026-09-14T04:36:08,128
2026-09-14T04:36:38,132
2026-09-14T04:37:08,138
2026-09-14T04:37:38,134
2026-09-14T04:38:08,127
2026-09-14T04:38:38,121
2026-09-14T04:39:08,135
2026-09-14T04:39:38,146
2026-09-14T04:40:08,127
2026-09-14T04:40:38,152
2026-09-14T04:41:08,139
2026-09-14T04:41:38,147
2026-09-14T04:42:08,117
2026-09-14T04:42:38,141
2026-09-14T04:43:09,128
2026-09-14T04:43:39,132
2026-09-14T04:44:09,134
2026-09-14T04:44:39,131
2026-09-14T04:45:09,166
2026-09-14T04:45:39,142
2026-09-14T04:46:09,137
2026-09-14T04:46:39,129
2026-09-14T04:47:09,138
2026-09-14T04:47:39,138
2026-09-14T04:48:09,131
2026-09-14T04:48:39,131
